Frequency: 0, Radius: 5.673468288804282, Phase: -2.717033140921576
Frequency: -1, Radius: 3.3737635784810065, Phase: 2.9072689037147286
Frequency: 1, Radius: 9.65479849960895, Phase: 2.538787699542755
Frequency: 2, Radius: 4.332253074975464, Phase: -3.136432241500584
Frequency: -2, Radius: 2.6839549194624546, Phase: 1.7456745773352809
Frequency: 3, Radius: 5.261233528276926, Phase: -0.355968878893432
Frequency: -3, Radius: 2.144205972818819, Phase: 0.022197473798759564
Frequency: 4, Radius: 3.154777086609961, Phase: 1.6961592788277815
Frequency: -4, Radius: 1.0086326806892056, Phase: -1.9614304220899537
Frequency: 5, Radius: 1.8286081474793616, Phase: -2.181899662420497
Frequency: -5, Radius: 1.5102139676094335, Phase: 2.7119147942603377
Frequency: -6, Radius: 0.9256153627274812, Phase: 0.7549487375588256
Frequency: 6, Radius: 0.24073407741304495, Phase: 1.0798351728182898
Frequency: -7, Radius: 0.4227553734979115, Phase: -1.2005428837814858
Frequency: 7, Radius: 0.3800572315168104, Phase: -0.5846815595031094
Frequency: -8, Radius: 0.2672916202033418, Phase: -1.3504136722986548
Frequency: 8, Radius: 0.8550370321451412, Phase: 1.025351544584345
Frequency: -9, Radius: 0.5481719074759707, Phase: -2.968239868915867
Frequency: 9, Radius: 0.6179415170153002, Phase: 3.0031541482292723
Frequency: -10, Radius: 0.9577057111656306, Phase: 1.7585609278737364
Frequency: 10, Radius: 0.6582997035127858, Phase: -1.471077747857131
Frequency: -11, Radius: 1.1408428399934816, Phase: -0.45711557343578885
Frequency: 11, Radius: 0.563339838418106, Phase: 0.2538497504786754
Frequency: 12, Radius: 0.519167459903994, Phase: 1.768437758170188
Frequency: -12, Radius: 1.0561838304131996, Phase: -2.5198339252428688
Frequency: 13, Radius: 0.3058335080055661, Phase: -2.5370317660115997
Frequency: -13, Radius: 0.6779068452554167, Phase: 1.6611651335425413
Frequency: -14, Radius: 0.20749989079284298, Phase: -0.5262105043355916
Frequency: 14, Radius: 0.16296719326557466, Phase: -1.6663825448040834
Frequency: 15, Radius: 0.34418421378292213, Phase: -0.6731154682639204
Frequency: -15, Radius: 0.24569002777577142, Phase: 0.45593248332686825
Frequency: 16, Radius: 0.6145016936017749, Phase: 1.063872748290092
Frequency: -16, Radius: 0.4139762170894526, Phase: -1.8877488586148914
Frequency: 17, Radius: 0.7192157778309225, Phase: 2.9434418212796687
Frequency: -17, Radius: 0.4073319659665316, Phase: 2.5742407209190232
Frequency: 18, Radius: 0.6772414538329082, Phase: -1.0424863274525022
Frequency: -18, Radius: 0.3131548482290659, Phase: 1.0671806466586908
Frequency: 19, Radius: 0.4703256037923239, Phase: 0.7649232058449844
Frequency: -19, Radius: 0.3476184072544415, Phase: -0.8084901717350623
Frequency: 20, Radius: 0.2877713288774975, Phase: 2.755200326500789
Frequency: -20, Radius: 0.4260257437927747, Phase: -2.734100082350199
Frequency: 21, Radius: 0.05749251452262168, Phase: -2.0382373144342476
Frequency: -21, Radius: 0.15154735077019374, Phase: 1.8506737909126991
Frequency: 22, Radius: 0.21171548420810415, Phase: -2.2249463153451097
Frequency: -22, Radius: 0.1179198911679468, Phase: 0.9800474275187345
Frequency: -23, Radius: 0.21254355188823285, Phase: 0.1140565279373237
Frequency: 23, Radius: 0.4036282254479499, Phase: -0.103263962963072
Frequency: 24, Radius: 0.433642142338054, Phase: 1.9974229958615488
Frequency: -24, Radius: 0.4475961170433201, Phase: -1.9296211683989477
Frequency: -25, Radius: 0.6260052458220421, Phase: 2.337972310407128
Frequency: 25, Radius: 0.256957128005376, Phase: -2.490204651386203
Frequency: -26, Radius: 0.5137593141485045, Phase: 0.21730371200906287
Frequency: 26, Radius: 0.307562019297005, Phase: -0.7315439765529803
Frequency: 27, Radius: 0.20461620797458566, Phase: 0.883301315970036
Frequency: -27, Radius: 0.41077024608645, Phase: -1.763008722708747
Frequency: -28, Radius: 0.25566321201792636, Phase: 3.0587363281024516
Frequency: 28, Radius: 0.045731497153966655, Phase: 1.865632563188174
